City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
payo,9,ID,1604024463,64,-3.75,103.64,86.76,0.45
havelock,90,US,1604024463,83,34.88,-76.9,78.01,18.34
isla mujeres,4,PH,1604024463,72,15.89,120.3,85.03,5.01
metro,8,ID,1604024381,63,-5.11,105.31,85.66,4.29
palmer,90,US,1604024386,93,42.16,-72.33,43.0,10.29
pangnirtung,56,CA,1604024465,83,66.15,-65.71,6.08,3.74
pailon,75,BO,1604024465,57,-17.65,-62.75,75.2,21.92
sawtell,0,AU,1604024465,64,-30.38,153.1,79.0,19.46
gatton,20,AU,1604024465,20,-27.55,152.28,87.8,8.05
pitanga,100,BR,1604024466,91,-24.76,-51.76,58.44,8.86
akcakoca,4,TR,1604024466,76,41.09,31.12,60.22,3.18
rio grande,40,GR,1604024446,93,38.3,21.78,53.6,4.09
istok,75,XK,1604024466,76,42.78,20.49,50.0,3.36
baghdad,40,IQ,1604024178,50,33.34,44.4,57.2,2.24
chunskiy,97,RU,1604024466,84,56.08,99.63,27.14,10.16
eureka,0,US,1604024332,77,40.8,-124.16,54.0,1.83
karachi,0,PK,1604024467,88,24.91,67.08,66.2,5.73
pontypridd,90,GB,1604024467,93,51.6,-3.34,57.2,13.87
novyy svit,75,RU,1604024467,93,45.01,38.98,60.8,6.71
ihtiman,100,BG,1604024468,98,42.43,23.82,48.99,1.01
bourail,99,NC,1604024468,49,-21.57,165.48,83.95,4.68
turayf,0,SA,1604024468,30,31.67,38.66,59.0,8.05
port-cartier,0,CA,1604024468,65,50.03,-66.87,27.0,8.01
muros,1,ES,1604024468,92,42.78,-9.06,51.01,3.0
sungaipenuh,98,ID,1604024468,77,-2.08,101.38,73.58,0.72
adrar,100,MR,1604024469,16,20.5,-10.07,79.72,8.32
basco,2,PH,1604024469,78,20.45,121.97,80.92,26.84
carahue,0,CL,1604024469,76,-38.7,-73.17,51.8,2.24
araouane,40,ML,1604024469,16,18.9,-3.53,81.9,10.2
waitati,100,NZ,1604024469,87,-45.75,170.57,57.0,11.01
kristianstad,80,SE,1604024469,100,56.03,14.15,46.0,5.1
pisco,0,PE,1604024470,82,-13.7,-76.22,63.0,19.46
edson,100,CA,1604024470,96,53.58,-116.44,30.72,3.87
bagaces,20,CR,1604024470,94,10.53,-85.25,77.0,3.36
mezen,100,RU,1604024470,89,65.85,44.24,42.03,11.52
yulara,0,AU,1604024470,26,-25.24,130.99,71.6,12.75
dergachi,98,RU,1604024466,72,51.23,48.77,39.36,11.25
bushenyi,100,UG,1604024471,98,-0.59,30.21,61.57,0.72
shache,98,CN,1604024471,53,38.42,77.24,39.85,3.31
kimbe,27,PG,1604024471,75,-5.55,150.14,84.94,4.52
petatlan,100,MX,1604024471,84,17.52,-101.27,79.3,1.81
coquimbo,0,CL,1604024276,87,-29.95,-71.34,53.6,4.7
alta floresta,100,NO,1604024471,92,69.97,23.27,33.01,11.41
toora-khem,37,RU,1604024468,88,52.47,96.11,20.7,3.69
rocha,87,UY,1604024295,79,-34.48,-54.33,51.3,9.46
snasa,99,NO,1604024472,86,64.25,12.38,40.06,2.71
carutapera,2,BR,1604024472,85,-1.2,-46.02,78.31,7.49
abu dhabi,0,IN,1604024472,46,24.6,72.7,61.18,3.47
jaciara,100,BR,1604024210,94,-15.97,-54.97,73.02,2.06
jalu,0,LY,1604024472,81,29.03,21.55,61.43,8.5
banff,100,CA,1604024352,100,51.18,-115.57,30.99,1.01
novorudnyy,0,RU,1604024473,79,51.5,58.19,28.4,2.24
norman wells,1,US,1604024473,65,35.22,-97.44,46.4,4.7
cedar city,1,US,1604024473,92,41.21,-92.53,36.0,6.93
fort morgan,100,NL,1604024473,90,52.65,6.39,57.0,4.0
hovd,37,MN,1604024473,70,48.01,91.64,27.84,8.68
vallenar,0,CL,1604024474,67,-28.57,-70.76,57.34,3.56
kidal,16,ML,1604024474,17,18.44,1.41,77.54,10.63
takestan,0,IR,1604024474,56,36.07,49.7,44.6,2.24
coihaique,0,CL,1604024474,66,-45.58,-72.07,48.2,3.36
faya,0,SA,1604024475,37,18.39,42.45,55.4,2.68
nipawin,5,CA,1604024475,97,53.37,-104.0,26.44,7.23
xixiang,0,CN,1604024475,99,35.16,112.86,60.01,8.61
muzaffarabad,0,PK,1604024475,34,34.37,73.47,57.36,5.19
adeje,20,ES,1604024475,68,28.12,-16.73,68.0,3.36
teahupoo,40,PF,1604024475,78,-17.83,-149.27,82.4,13.87
kamaishi,75,JP,1604024477,81,39.27,141.88,46.4,5.82
gonda,0,IN,1604024477,56,27.13,81.93,71.04,4.94
northam,100,GB,1604024477,93,51.03,-4.22,60.01,8.99
ormara,0,PK,1604024477,34,25.21,64.64,75.07,8.34
novo aripuana,0,CU,1604024477,84,22.78,-82.23,78.13,4.09
ola,100,RU,1604024477,90,59.58,151.28,31.06,4.92
oros,36,BR,1604024477,65,-6.24,-38.91,79.05,8.43
eldoret,100,KE,1604024430,94,0.52,35.27,55.27,7.2
lavumisa,35,SZ,1604024478,90,-27.31,31.89,67.64,3.09
victor harbor,100,US,1604024478,94,42.98,-77.41,45.0,12.73
ugoofaaru,64,MV,1604024478,73,5.67,73.0,82.36,7.61
mount isa,100,GB,1604024400,96,53.66,-1.85,57.99,7.0
sechura,100,PE,1604024478,80,-5.56,-80.82,65.68,12.08
fereydun kenar,0,IR,1604024478,23,34.37,46.92,41.0,0.96
san quintin,58,ML,1604024412,18,13.3,-4.9,76.5,5.17
rudnichnyy,90,RU,1604024479,97,59.62,52.47,30.51,8.12
moron,0,AR,1604024479,51,-34.65,-58.62,59.0,9.17
dunedin,100,NZ,1604024190,86,-45.87,170.5,57.0,5.01
chalons-en-champagne,90,FR,1604024479,93,48.95,4.37,57.2,17.22
grindavik,90,IS,1604024479,93,63.84,-22.43,39.2,12.75
alyangula,100,AU,1604024479,55,-13.85,136.42,89.6,6.93
whitehorse,97,CA,1604024385,90,60.72,-135.05,24.01,1.01
poya,95,NC,1604024479,50,-21.35,165.15,83.89,4.5
bima,100,ID,1604024480,45,-8.47,118.72,92.26,3.02
leh,22,IN,1604024480,72,34.17,77.58,28.02,2.57
simpang,98,ID,1604024480,88,-1.27,104.08,80.28,3.51
tromso,90,NO,1604024480,94,69.65,18.96,32.0,17.22
otane,89,NZ,1604024402,62,-39.88,176.63,75.0,3.0
kilifarevo,75,BG,1604024480,100,42.98,25.63,54.0,2.24
aborlan,40,PH,1604024481,66,9.44,118.55,87.8,16.11
salur,60,IN,1604024481,56,18.53,83.22,76.48,3.6
amahai,81,ID,1604024481,69,-3.33,128.92,84.15,4.27
takoradi,0,GH,1604024481,87,4.88,-1.76,77.47,5.35
mahibadhoo,96,MV,1604024481,73,3.78,72.97,82.71,9.35
dwarka,0,IN,1604024482,60,22.24,68.97,79.83,9.33
cooma,90,AU,1604024482,71,-36.23,149.13,57.2,6.93
bandar penggaram,100,ID,1604024482,70,2.05,99.75,83.52,2.01
catuday,13,PH,1604024482,77,16.29,119.81,82.53,2.98
plettenberg bay,100,DE,1604024482,93,51.22,7.88,52.0,12.41
san-pedro,47,CI,1604024482,93,4.75,-6.64,76.24,4.14
grand river south east,1,US,1604024482,49,38.88,-109.5,48.2,2.68
camacha,40,PT,1604024483,77,33.08,-16.33,68.0,5.82
merauke,0,ID,1604024483,61,-8.47,140.33,85.8,8.93
fukue,75,JP,1604024483,59,32.69,128.84,66.2,16.11
pocone,100,BR,1604024483,91,-16.26,-56.62,72.7,2.17
san rafael,58,ML,1604024426,18,13.3,-4.9,76.5,5.17
piacabucu,99,BR,1604024483,84,-10.41,-36.43,76.44,13.31
belaya gora,100,UA,1604024484,94,49.03,25.77,51.01,3.0
stornoway,98,GB,1604024484,93,58.21,-6.39,53.6,12.75
kudahuvadhoo,54,MV,1604024484,77,2.67,72.89,82.53,10.67
zwedru,99,LR,1604024484,95,6.07,-8.13,72.41,1.45
serebryansk,90,KZ,1604024484,100,49.69,83.29,33.8,11.18
turukhansk,88,RU,1604024468,94,65.82,87.98,3.13,5.06
eyl,94,SO,1604024484,74,7.98,49.82,79.52,1.1
robertsport,100,LR,1604024485,82,6.75,-11.37,79.38,9.22
